movie,task,segment_coarse.rt,segment_fine.rt,order,sub
1.2.3,segment,,"[-4.523864242000855, -1.2518334560008952, 81.67613336000068, 154.96416023799975, 271.2841459810006, 336.97218051600066, 383.60417154700554, 429.3161918440019, 507.3801753730004]",coarse_fine,e152016
6.3.9,segment,,"[-8.31974247800099, -4.335748063997016, 53.04024135500367, 271.69626993499696, 280.40827214399906, 417.46429515699856, 445.4243039339999, 520.1283040929993, 522.512327108001, 652.2803135680006, 668.0883877710003]",coarse_fine,e152016
3.1.3,segment,,"[-6.878302217002783, -3.3263175250031054, -1.6783179089979967, 18.473661087002256, 171.55370979299914, 278.57772022599966, 387.16971486200055, 494.30573552799615, 549.2497386159957, 549.8577410849975, 560.4737526230019, 580.0897471069984]",coarse_fine,e152016
2.4.1,segment,,"[-8.241674732002139, -8.025678773003165, -5.601686000001791, 21.078303349000635, 72.20630907199666, 78.61432806999801, 193.33434139900055, 238.84632638599578, 314.43835871199553, 422.398341727996, 422.6464144459969, 619.6223687460006, 645.8063935819955]",coarse_fine,e152016
1.2.3,segment,,"[4.334023320989218, 56.89404967999144, 80.9340617179987, 151.93406445599976, 270.6060798089893, 300.9020936820016, 336.3500803929928, 379.83808741599205, 427.3580905540002, 505.9421157649922, 577.5581344980019]",fine_coarse,e152017
6.3.9,segment,,"[7.095175948998076, 55.775184429003275, 58.023173057998065, 281.6151863230043, 316.22323790700466, 437.7272169869975, 527.2232847639971, 634.4552696190076, 668.0712537170039, 676.2472465280007]",fine_coarse,e152017
3.1.3,segment,,"[21.623881621999317, 28.20788880699547, 68.15994542499539, 79.79187586100306, 167.9919043760019, 260.1759216770006, 337.0399273630028, 351.20793398699607, 376.4159389080014, 410.99993989600625, 457.08793569800036, 564.5599590339989, 585.2079485620052]",fine_coarse,e152017
2.4.1,segment,,"[6.7385831760038855, 10.050556593996589, 176.7065877260029, 217.31458789900353, 239.10660379599722, 314.7705988300004, 400.45866645000933, 577.3947008260002, 625.4266321290052, 640.1626583830075, 642.6586434430064]",fine_coarse,e152017
1.2.3,segment,"[5.661110044005909, 57.237098017008975, 80.13311026399606, 154.90111855600844, 579.941173211002, 585.0851663630019]",,fine_coarse,e152017
6.3.9,segment,"[9.417011580997496, 302.7050502380007, 526.2730756679957, 673.0811166450003, 674.5530989020044]",,fine_coarse,e152017
3.1.3,segment,"[4.783502537000459, 21.19951027999923, 583.831577777004, 584.9756039350032]",,fine_coarse,e152017
2.4.1,segment,"[6.324745168996742, 316.28473177499836, 401.5407417999959, 628.5727974390029, 642.5007818750018]",,fine_coarse,e152017
1.2.3,segment,"[82.12493734298914, 153.14092150398938, 275.2209585739911, 341.1409391530033, 460.1089543179987, 577.5729762059927]",,coarse_fine,e152018
6.3.9,segment,"[283.0457126389956, 438.30971474600665, 531.3737287020049, 672.4297629549983]",,coarse_fine,e152018
3.1.3,segment,"[77.30620821600314, 335.53026884500287, 471.8662620870018, 574.7782590230054]",,coarse_fine,e152018
2.4.1,segment,"[212.80651176300307, 405.1105444440036, 533.6225802319968]",,coarse_fine,e152018
1.2.3,segment,,"[-6.961160727994866, -1.3931568150001112, 60.902826086996356, 81.39082043200324, 149.55883904000802, 160.51085950499692, 230.79884056899755, 285.8468718160002, 301.9348936620081, 322.6068740699993, 336.75088235699513, 350.66286716700415, 379.56685989499965, 399.5188896339969, 429.1348761910049, 451.6068843319954, 506.5828972970048, 576.7748989399988]",coarse_fine,e152018
6.3.9,segment,,"[278.75874711999495, 426.9667415970034, 541.3907585150009, 667.8147948190017]",coarse_fine,e152018
3.1.3,segment,,"[65.17834890900122, 158.28225144400494, 334.87431369199476, 453.48232088799705, 569.5463257529918]",coarse_fine,e152018
2.4.1,segment,,"[87.96791645699705, 215.28790233799373, 323.9279395439953, 398.84794741099176, 530.5359624839912, 625.279984074994]",coarse_fine,e152018
1.2.3,segment,,"[91.7730913790001, 229.46113332999812, 283.48508937800216, 292.2451171549983, 318.69309878499917, 434.66910406199895]",fine_coarse,e152021
6.3.9,segment,,"[21.146054777993413, 62.162055314998724, 120.94603679499414, 188.88205444199411, 239.42606208899815, 279.7700746769988, 300.13808238899946, 327.586077037995, 364.6660678329936, 373.24207162999664, 373.5620698929997, 482.05007453099824, 596.4581216599981, 667.0421393500001]",fine_coarse,e152021
3.1.3,segment,,"[18.51625594300276, 28.124314660999516, 69.00426433000393, 441.14033503200335, 497.01234292799927]",fine_coarse,e152021
2.4.1,segment,,"[24.90167472900066, 103.36570914299955, 191.21369828200113, 212.4777009669997, 346.40572003499983, 533.0777553660009, 547.8937659690055]",fine_coarse,e152021
1.2.3,segment,"[161.86708118399838, 531.7471132849969]",,fine_coarse,e152021
6.3.9,segment,"[280.26958025099884, 328.2375587429997, 538.877603162, 657.8695980549965, 668.485619471001]",,fine_coarse,e152021
3.1.3,segment,"[249.48724872599996, 441.71130059799907]",,fine_coarse,e152021
2.4.1,segment,"[253.4429847739957, 596.5310386489946]",,fine_coarse,e152021
1.2.3,segment,"[83.53594365100435, 152.3679606180085, 582.2240086940001]",,coarse_fine,e152022
6.3.9,segment,"[13.546933715988416, 282.4989773540001, 528.8030183709925, 672.7230204059888]",,coarse_fine,e152022
3.1.3,segment,[580.1657338180084],,coarse_fine,e152022
2.4.1,segment,"[6.683239414996933, 637.6273129119945]",,coarse_fine,e152022
1.2.3,segment,,"[81.51604175999819, 151.9000260920002, 274.8520296279894, 337.1561144969892, 352.17207981599495, 426.548060340996, 441.57207095299964, 580.2840680669906]",coarse_fine,e152022
6.3.9,segment,,"[11.691856798992376, 53.45983336199424, 202.08385510899825, 272.37987847300246, 280.94788258499466, 304.0038947370049, 437.2678903890046, 525.5079199989996, 670.6039382119925]",coarse_fine,e152022
3.1.3,segment,,"[20.346812082992983, 68.54685744800372, 171.26683216300444, 342.97084672500205, 385.2428667990025, 462.1628973350016, 574.0269194709981]",coarse_fine,e152022
2.4.1,segment,,"[7.048218395008007, 90.92024410801241, 223.5522848140099, 332.7042803910008, 358.57629501201154, 401.20028445200296, 579.7523249620135, 635.0403445740085, 640.6163151660003]",coarse_fine,e152022
1.2.3,segment,,"[57.71102971400251, 81.07901432800281, 152.27902878601162, 279.3590614140121, 338.43104962100915, 440.9430476710113, 580.1431009940134]",fine_coarse,e152023
6.3.9,segment,,"[289.0534541199886, 302.8934403149906, 437.50946075399406, 526.1894641739927, 634.093536342989, 676.349462809987]",fine_coarse,e152023
3.1.3,segment,,"[20.689836115998332, 30.48982650200196, 70.22586500699981, 178.0258588430006, 343.0898973239964, 415.20191428399994, 460.52188523199584, 567.5859228329937, 580.689911983005]",fine_coarse,e152023
2.4.1,segment,,"[10.357090685007279, 78.85309257300105, 195.5571184529981, 240.56512360200577, 317.6531223360071, 358.3491173150105, 401.06916493200697, 539.9491553490079, 576.7651947140112, 625.6131841340102, 640.221186588009]",fine_coarse,e152023
1.2.3,segment,"[81.5935841879982, 152.52946973899088, 580.7055080510036]",,fine_coarse,e152023
6.3.9,segment,"[281.4220099230006, 304.57398921099957, 526.7020054610039, 671.5100738160108]",,fine_coarse,e152023
3.1.3,segment,"[21.398003426002106, 415.2540458250005, 463.69406696999795, 571.5820703509962]",,fine_coarse,e152023
2.4.1,segment,"[10.302370559991687, 223.8544022799906, 334.0144299639942, 360.1424245949893, 635.3424909939931, 641.4064906339918]",,fine_coarse,e152023
1.2.3,segment,"[81.49298814299982, 152.28496867899958, 285.0290120869904, 341.3969975319924, 440.76500595400285, 578.7410505059961]",,coarse_fine,e152024
6.3.9,segment,"[280.8083404950012, 437.2563389650022, 525.2003624520003, 676.7364147679909]",,coarse_fine,e152024
3.1.3,segment,"[69.66671551299805, 170.62669911500416, 412.2667502359982, 463.482727701994, 571.018997399995]",,coarse_fine,e152024
2.4.1,segment,"[217.40998476999812, 359.81800574000226, 399.0820111659996, 591.1940260400006, 631.4580427079927]",,coarse_fine,e152024
1.2.3,segment,,"[56.80933896100032, 82.39335291599855, 91.17731163999997, 143.11334183398867, 149.28133432898903, 225.84133834399108, 269.70539292799367, 302.54535964899696, 337.92939370499516, 378.97736764900037, 427.4733903390006, 519.6493949339929, 578.2814084529964]",coarse_fine,e152024
6.3.9,segment,,"[54.757124950992875, 107.10914498400234, 201.26112826599274, 271.2291398630041, 314.317178169993, 440.0131961409934, 522.8451757230068, 637.8771975849959, 669.3491902259993]",coarse_fine,e152024
3.1.3,segment,,"[19.308837812990532, 29.892820334993303, 72.10882511499221, 171.59685640598764, 343.18085543299094, 415.34887577399786, 459.9408593900007, 584.3088942759932]",coarse_fine,e152024
2.4.1,segment,,"[77.71700028001214, 193.59704780300672, 241.42905709201295, 286.60505757801, 317.8050549150066, 338.71704466600204, 366.46103822501027, 404.933032113011, 533.1170619559998, 582.9011113990127]",coarse_fine,e152024
1.2.3,segment,,"[56.98133045001305, 80.80532468500314, 151.957358759013, 226.2053628860158, 274.86137687502196, 286.18938422200154, 305.1093641920015, 317.25340081800823, 333.7013746779994, 378.5653731850034, 401.37336240999866, 426.94135629801895, 440.90938172102324, 505.54138393801986, 576.3414379760216, 585.5734016260249]",fine_coarse,e152025
6.3.9,segment,,"[-2.0668077139998786, 16.429208090994507, 54.5731908629823, 274.31721980898874, 279.245215345989, 303.38120965799317, 437.4452369500068, 526.085249700991, 634.0132639609801, 669.2132658530027]",fine_coarse,e152025
3.1.3,segment,,"[20.903601405007066, 68.62363676700625, 170.3356151909975, 172.35962936800206, 342.5916190110147, 394.4156176310207, 418.9916566790198, 459.1596264230029, 572.9356687510153, 585.0636555590027]",fine_coarse,e152025
2.4.1,segment,,"[90.56597585900454, 194.16602035801043, 222.95000102801714, 331.97402450902155, 358.942031063023, 400.7820259600121, 530.6620695690217, 577.758056339022, 633.8940442300227, 642.5340633630112]",fine_coarse,e152025
1.2.3,segment,"[-0.5539719480148051, 80.67004732700298, 152.6940081900102, 275.4380452350015, 440.6140556600003, 579.8220883829927]",,fine_coarse,e152025
6.3.9,segment,"[274.4997417209961, 303.41970470300294, 437.059739371005, 526.1237332449818, 668.8677952809958]",,fine_coarse,e152025
3.1.3,segment,"[-1.3104134259920102, 20.665577423002105, 393.0656192340248, 573.2576393960044, 584.4576380720246]",,fine_coarse,e152025
2.4.1,segment,"[223.51871939998819, 333.79074091199436, 399.47073618898867, 635.0467438909982, 642.5587646130007]",,fine_coarse,e152025
1.2.3,segment,,"[3.7883916049995605, 9.140351494999777, 61.46038827099983, 84.51635160200021, 95.36440342599963, 130.9803772289997, 143.2683983099996, 152.14838020499883, 158.48440924399983, 228.03639597799884, 272.1564043260005, 279.5244311739989, 289.2363998439996, 308.1163888789997, 353.7724150639988, 378.86843754599977, 401.64440211500005, 426.7324285960003, 441.2844203900004, 457.58844629399937, 507.6764502749993, 533.2124438329993, 576.8204350079995, 583.7164443349993]",fine_coarse,e152026
6.3.9,segment,,"[7.121685707001234, 16.217694495000615, 20.129706340001576, 27.513697108000997, 57.76172539300023, 68.76971086000049, 203.07370909700148, 271.31375401400146, 286.41775256800065, 321.83372612200037, 368.33775577100096, 441.89776574400094, 525.817765586, 543.0017759310012, 605.337781305001, 636.9057963890009, 668.3298018110017]",fine_coarse,e152026
3.1.3,segment,,"[3.61204293999981, 8.900019496999448, 17.1080497439998, 28.028027013999235, 68.41200946499885, 77.48401608200038, 87.81205441299971, 130.96402818299975, 154.060095928, 172.74006806299985, 192.7400659269988, 225.8363341610002, 263.72404188899964, 326.32406237800024, 351.5000772889998, 397.3800508259992, 437.11606292800025, 451.5401005399999, 480.1081181560003, 569.0201157449992, 579.5480939230001]",fine_coarse,e152026
2.4.1,segment,,"[7.50139909200152, 15.733396472000095, 78.68540127500091, 92.13339816000007, 194.69340182500127, 219.66941635000148, 239.60542101200008, 282.4054290870008, 313.5734447400009, 362.0134558720001, 400.5094313110003, 530.4854486390013, 576.4134539160004, 625.9414809750015, 632.9014957980016]",fine_coarse,e152026
1.2.3,segment,"[4.150877758000206, 91.61485733700101, 153.45487629000127, 270.790886494, 352.9269099330013, 457.0789267630007, 582.2309498890008]",,fine_coarse,e152026
6.3.9,segment,"[15.095164258000295, 286.4152085280002, 325.9352140780011, 438.39122271400083, 523.5672367650004, 574.3352569650015, 673.0232502990002, 677.7272650209998]",,fine_coarse,e152026
3.1.3,segment,"[20.54137681499924, 172.47738959900016, 337.7813967589991, 567.6454184260001]",,fine_coarse,e152026
2.4.1,segment,"[14.372121229000186, 193.9401204980004, 224.63616199900025, 315.956140409, 357.37216291500044, 533.6121652189995, 577.5322041689997]",,fine_coarse,e152026
1.2.3,segment,"[82.39736700699996, 154.57340819, 270.18940390600073, 341.65337941800044, 445.18941788100074]",,coarse_fine,e152028
6.3.9,segment,"[283.1045430719996, 324.79252558400003, 418.8005423860004, 543.9285820149998]",,coarse_fine,e152028
3.1.3,segment,"[21.935960685999817, 170.33597885000017, 254.16797709799994, 343.0479730369998, 460.5119844109995]",,coarse_fine,e152028
2.4.1,segment,"[197.84971041600056, 283.16974326499985, 361.2577315770004, 405.1697992039999, 581.1217735549999]",,coarse_fine,e152028
1.2.3,segment,,"[58.62924948699947, 145.19727236399922, 273.79729196399967, 339.59730752699943, 441.3573280539995, 578.5333368689999]",coarse_fine,e152028
6.3.9,segment,,"[271.1844028199994, 284.824463971001, 420.8644454740006, 444.84842778799975, 562.8004783640008, 637.456455861]",coarse_fine,e152028
3.1.3,segment,,"[68.95383846799996, 168.84982678800043, 261.3218480710002, 350.36186481200093, 415.6978594659995, 476.1699011319997, 566.8578889370001]",coarse_fine,e152028
2.4.1,segment,,"[196.38661007299925, 285.21059134200004, 361.1065778840002, 531.8266021179988, 591.7866199149994, 639.5866362180004]",coarse_fine,e152028
1.2.3,segment,"[-1.2379000890000498, 82.33010061699997, 233.17015782800013, 276.82615657099996, 355.14613094499987, 445.51415499400014, 447.202179527]",,coarse_fine,e152030
6.3.9,segment,"[13.386015864, 275.5700639069996, 313.2900801579999, 419.2500657989999, 451.65807295099967, 543.1780994039996, 543.7060697389998, 619.722110105]",,coarse_fine,e152030
3.1.3,segment,"[36.93249811099986, 69.62848169100016, 98.66850529500016, 167.25250528200013, 177.18048991599971, 332.18851477, 433.31654495099974, 580.108547197]",,coarse_fine,e152030
2.4.1,segment,"[-5.845716108000033, -0.1896902680000494, 17.922303519999787, 176.3863155199997, 233.83434431399974, 298.94635724399996, 364.6743544870001, 539.530394765]",,coarse_fine,e152030
1.2.3,segment,,"[9.10309389000031, 81.00709732999985, 168.03114837300018, 270.35910654300005, 368.5991296299999, 433.42316143300013, 516.5031604639998]",coarse_fine,e152030
6.3.9,segment,,"[-7.196718569999575, -3.6767412250001144, -1.0206864149995454, 15.067251315000249, 66.60328961899995, 190.08329950000007, 237.85125860900007, 283.819311104, 325.3953125550006, 362.4832992649999, 421.6353638340006, 540.6753479240006, 664.6353281460006]",coarse_fine,e152030
3.1.3,segment,,"[-3.71356867600025, 0.038411194999753207, 31.774432082000203, 73.26242355199975, 131.37445320799998, 164.9344422309996, 280.1024696499999, 332.4624772779998, 364.5584722960002, 432.8784575889995, 461.8944709850002, 530.1824849799996, 573.7905159459997]",coarse_fine,e152030
